,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-183.69313,-180.19028,-194.59953,-172.32016,-122.11485,-137.11081,192.27116,184.46729,207.20992,168.38792,122.11485,144.48914,182.28857,130.17043,85.149994,63.76928,4.594055,229.84334,218.74763,130.91031,90.16495,49.79713,-4.594055,218.98691,661.1212,518.1273,228.72314,68.172295,53.82833,31.913532,793.6345,515.50305,358.51508,71.74138,54.15782,32.032578
1,-183.45161,-180.15164,-194.51962,-172.22052,-122.07203,-136.95764,192.61662,184.57042,207.25903,168.51993,122.07203,144.67142,182.85986,130.54788,85.273766,63.795998,4.614926,229.79932,218.36208,130.7866,90.1071,49.779415,-4.614926,218.95792,661.05035,518.0442,228.7153,68.148285,53.81494,31.894768,793.665,515.472,358.52405,71.74585,54.094894,32.0364
2,-183.24011,-180.13074,-194.45595,-172.13553,-122.03465,-136.8186,192.91817,184.6441,207.30212,168.6332,122.03465,144.83661,183.41895,130.91234,85.39681,63.822456,4.63235,229.76291,217.95157,130.65485,90.03069,49.763035,-4.63235,218.93333,660.97455,517.9634,228.70724,68.12334,53.80154,31.878513,793.68915,515.442,358.53595,71.74897,54.039715,32.039223
3,-183.08322,-180.1409,-194.41975,-172.07523,-122.00585,-136.70688,193.14023,184.66302,207.3321,168.71162,122.00585,144.96928,183.95618,131.255,85.5192,63.847794,4.643612,229.73979,217.49442,130.50635,89.92192,49.748165,-4.643612,218.91617,660.8912,517.8872,228.69756,68.0975,53.788467,31.866993,793.7079,515.4147,358.55447,71.7503,53.999382,32.040375
4,-182.99667,-180.19006,-194.41782,-172.04433,-121.988045,-136.63023,193.26463,184.61516,207.34515,168.74614,121.988045,145.05988,184.46497,131.57225,85.64333,63.871227,4.647024,229.73238,216.98344,130.33636,89.77813,49.73461,-4.647024,218.90802,660.80066,517.81726,228.68265,68.07156,53.776157,31.861738,793.7263,515.3913,358.58218,71.74965,53.978462,32.039803
5,-182.9857,-180.28006,-194.4519,-172.04185,-121.98279,-136.58975,193.29399,184.50414,207.34059,168.73656,121.98279,145.10602,184.94373,131.86717,85.7743,63.892418,4.6421328,229.7394,216.42636,130.14441,89.60776,49.72204,-4.6421328,218.90907,660.7054,517.75385,228.65697,68.04644,53.76466,31.86304,793.7525,515.3726,358.6191,71.74707,53.978004,32.037914
6,-183.04561,-180.40775,-194.51921,-172.06248,-121.99071,-136.58011,193.2497,184.3476,207.31924,168.6916,121.99071,145.1124,185.39713,132.14955,85.91897,63.91176,4.62968,229.75656,215.84113,129.93294,89.42599,49.71033,-4.62968,218.91855,660.60834,517.69543,228.61423,68.02244,53.753025,31.869541,793.7947,515.35974,358.6621,71.7427,53.99515,32.035145
7,-183.16437,-180.56726,-194.61368,-172.0989,-122.01151,-136.59161,193.16508,184.1718,207.28162,168.62672,122.01151,145.08897,185.83553,132.43338,86.08389,63.93037,4.611338,229.77791,215.24828,129.70477,89.24787,49.699898,-4.611338,218.93526,660.5114,517.6388,228.54929,67.99874,53.73911,31.878284,793.8574,515.35425,358.70502,71.73683,54.02371,32.031586
8,-183.3263,-180.75261,-194.72733,-172.14418,-122.044136,-136.61339,193.07547,184.00392,207.2267,168.56026,122.044136,145.04826,186.27217,132.73248,86.27221,63.949688,4.589299,229.79736,214.66307,129.46053,89.0819,49.691734,-4.589299,218.95801,660.4151,517.5796,228.46014,67.97356,53.720055,31.885471,793.93976,515.35895,358.74017,71.73012,54.05574,32.026863
9,-183.51556,-180.95943,-194.85136,-172.1934,-122.08665,-136.63693,193.00768,183.86407,207.15175,168.50851,122.08665,145.00179,186.71835,133.05487,86.48032,63.970547,4.5658097,229.81018,214.0909,129.19713,88.92649,49.68712,-4.5658097,218.98567,660.319,517.51447,228.34961,67.94509,53.69348,31.887688,794.0347,515.3777,358.76105,71.723854,54.08393,32.020435
10,-183.71883,-181.18523,-194.97656,-172.24397,-122.13569,-136.65952,192.97244,183.75879,207.05273,168.48108,122.13569,144.95714,187.17781,133.3977,86.69536,63.992073,4.542755,229.81374,213.52753,128.90839,88.7707,49.687023,-4.542755,219.01698,660.2233,517.44293,228.22604,67.91298,53.658844,31.883179,794.1333,515.41455,358.7651,71.72022,54.10402,32.01207
11,-183.9263,-181.42781,-195.09271,-172.29433,-122.1855,-136.68597,192.9619,183.67776,206.92459,168.4777,122.1855,144.91573,187.64294,133.7451,86.894745,64.01086,4.521421,229.80771,212.96367,128.58717,88.59844,49.691414,-4.521421,219.0499,660.1302,517.36884,228.10278,67.87944,53.618332,31.87263,794.23016,515.4727,358.7558,71.722244,54.11647,32.002293
12,-184.13129,-181.6825,-195.18777,-172.34198,-122.22684,-136.72842,192.95302,183.59494,206.76115,168.48775,122.22684,144.87228,188.09505,134.07088,87.0493,64.020966,4.502502,229.79358,212.39035,128.22827,88.39434,49.69861,-4.502502,219.08133,660.0436,517.30035,227.99599,67.84971,53.57682,31.859003,794.3296,515.55334,358.74304,71.73357,54.126663,31.992413
13,-184.32838,-181.93948,-195.24756,-172.38155,-122.24681,-136.80353,192.91595,183.47433,206.55507,168.49274,122.24681,144.81635,188.5105,134.3466,87.13009,64.015076,4.486359,229.77385,211.80081,127.83019,88.14848,49.704914,-4.486359,219.10709,659.9686,517.24774,227.92116,67.83115,53.540794,31.846504,794.4489,515.6549,358.74127,71.7578,54.143387,31.984087
14,-184.5107,-182.18265,-195.25653,-172.4042,-122.23028,-136.9278,192.82497,183.27936,206.2986,168.47163,122.23028,144.7354,188.87169,134.554,87.11821,63.98668,4.4734025,229.75133,211.18585,127.39474,87.858406,49.704655,-4.4734025,219.12227,659.91016,517.2202,227.88895,67.83132,53.51661,31.83903,794.61597,515.7737,358.76636,71.79787,54.1761,31.978563
15,-184.66685,-182.39105,-195.20059,-172.39922,-122.16312,-137.11209,192.66884,182.98375,205.98563,168.40727,122.16312,144.61919,189.18025,134.69785,87.01482,63.932716,4.4643908,229.72842,210.52322,126.92441,87.52778,49.690704,-4.4643908,219.1221,659.87115,517.22144,227.90164,67.85566,53.50882,31.838724,794.8615,515.90497,358.8317,71.85528,54.231956,31.976002
16,-184.77873,-182.54297,-195.071,-172.35716,-122.03685,-137.35706,192.45781,182.58083,205.61499,168.29208,122.03685,144.46393,189.4678,134.8151,86.847855,63.855755,4.460461,229.70671,209.76593,126.41861,87.16276,49.65556,-4.460461,219.10295,659.85095,517.2465,227.9512,67.905365,53.519173,31.84523,795.2087,516.044,358.94476,71.92967,54.31359,31.975231
17,-184.82088,-182.62117,-194.86848,-172.27397,-121.852844,-137.65056,192.22507,182.08818,205.19391,168.13129,121.852844,144.27524,189.79974,134.97559,86.67213,63.764786,4.462832,229.68686,208.83649,125.87041,86.76787,49.592876,-4.462832,219.06335,659.84467,517.2811,228.0202,67.97659,53.546574,31.855877,795.66327,516.1875,359.10526,72.01859,54.418327,31.974094
18,-184.76231,-182.6178,-194.6054,-172.15366,-121.62442,-137.96841,192.02179,181.54604,204.7398,167.94232,121.62442,144.06883,190.26892,135.27214,86.56106,63.67417,4.4722853,229.66862,207.63284,125.26541,86.342964,49.49912,-4.4722853,219.00465,659.84296,517.3037,228.08543,68.06111,53.58794,31.866718,796.2094,516.33386,359.3051,72.11761,54.53902,31.970299
19,-184.57076,-182.53671,-194.30472,-172.00853,-121.37554,-138.27815,191.90668,181.00912,204.27914,167.75069,121.37554,143.86835,190.97884,135.80159,86.59145,63.60085,4.488671,229.65123,206.04753,124.58325,85.882164,49.374836,-4.488671,218.93124,659.83234,517.2907,228.1234,68.14834,53.63944,31.873997,796.8132,516.48315,359.5302,72.22073,54.665886,31.962358
20,-184.21786,-182.39209,-193.99557,-171.85645,-121.13597,-138.545,191.93245,180.53424,203.84259,167.58366,121.13597,143.70093,192.02002,136.64143,86.82539,63.560627,4.5106616,229.63376,203.99506,123.80131,85.37452,49.225098,-4.5106616,218.84993,659.79626,517.2225,228.11578,68.22792,53.69753,31.875423,797.43195,516.63727,359.76337,72.32116,54.788662,31.950262
21,-183.6848,-182.20363,-193.70618,-171.71573,-120.934326,-138.73854,192.13297,180.16702,203.45781,167.46356,120.934326,143.59155,193.44617,137.8295,87.29498,63.56465,4.5358663,229.61572,201.43843,122.8991,84.80595,49.058746,-4.5358663,218.76884,659.7173,517.08887,228.05353,68.29205,53.75938,31.870768,798.0278,516.7993,359.98755,72.41214,54.898323,31.935593
22,-182.96574,-181.98997,-193.45674,-171.59987,-120.79132,-138.83835,192.51459,179.93184,203.1424,167.40294,120.79132,143.55777,195.2581,139.35294,87.99482,63.617188,4.5612206,229.59741,198.40413,121.861984,84.1616,48.886593,-4.5612206,218.69582,659.5797,516.8911,227.9379,68.3367,53.82248,31.861542,798.57715,516.97314,360.1892,72.488075,54.988014,31.920998
23,-182.06914,-181.76266,-193.25478,-171.51385,-120.715225,-138.8372,193.05426,179.82758,202.89995,167.40273,120.715225,143.60622,197.40112,141.15004,88.88455,63.715294,4.5834875,229.58003,194.9795,120.683304,83.42845,48.719124,-4.5834875,218.63698,659.3724,516.64105,227.7786,68.36148,53.88378,31.84999,799.07574,517.1627,360.36078,72.545334,55.053207,31.90926
24,-181.01555,-181.52296,-193.09427,-171.45349,-120.70107,-138.74124,193.70467,179.83014,202.72038,167.45384,120.70107,143.73203,199.77676,143.12431,89.90016,63.850338,4.599693,229.56554,191.29233,119.36503,82.59773,48.56439,-4.599693,218.5957,659.09204,516.3566,227.5898,68.3685,53.93894,31.83789,799.5355,517.3704,360.50156,72.582726,55.0914,31.902302
25,-180.13028,-180.85332,-192.45496,-171.17218,-120.79332,-138.22493,193.81853,180.36739,203.10953,167.37994,120.792946,144.2187,202.01945,145.60399,91.004456,63.747395,4.644056,229.3794,187.23448,118.20002,81.70874,48.44882,-4.664709,218.411,658.60925,515.54144,227.2045,68.08425,54.014767,32.056446,799.10913,517.4926,360.39117,72.57681,55.104225,31.891933
26,-179.07071,-180.18869,-192.02261,-170.96962,-120.80368,-137.78911,193.99625,180.74747,203.28915,167.40356,120.799255,144.56682,204.3321,147.76958,92.09635,63.788963,4.6599197,229.24849,183.20639,116.965355,80.65543,48.295578,-4.6731567,218.26291,658.11426,514.7625,226.94495,67.95031,54.111977,32.124866,798.90955,517.61194,360.277,72.60768,55.119503,31.913685
27,-177.97835,-179.58667,-191.7555,-170.84206,-120.79028,-137.40717,194.16771,181.05557,203.36975,167.49834,120.78345,144.84969,206.51288,149.59357,93.11653,63.90714,4.6523566,229.17319,179.24294,115.711494,79.56063,48.129745,-4.660819,218.14598,657.58936,514.01086,226.77214,67.90806,54.214867,32.116497,798.7747,517.7115,360.16235,72.66225,55.145325,31.95594
28,-176.84503,-178.9664,-191.52817,-170.74901,-120.78425,-137.04044,194.24106,181.2966,203.40112,167.62254,120.7763,145.12003,208.61325,151.26651,94.08613,64.055954,4.6339655,229.13664,175.31238,114.4036,78.43564,47.963963,-4.640819,218.05115,657.0766,513.3066,226.64064,67.897705,54.322227,32.090054,798.691,517.8332,360.08438,72.72469,55.17138,32.007324
29,-175.70264,-178.34975,-191.31352,-170.6726,-120.78949,-136.68066,194.25287,181.50444,203.41814,167.75621,120.78168,145.3988,210.60083,152.78845,94.97458,64.20998,4.6091447,229.12497,171.3786,112.994514,77.261765,47.800716,-4.615635,217.97275,656.58405,512.6492,226.53223,67.895004,54.430515,32.067127,798.63983,517.9875,360.05176,72.78988,55.193752,32.06466
30,-174.53682,-177.72478,-191.10619,-170.60822,-120.80423,-136.32741,194.19801,181.66254,203.40692,167.89539,120.7966,145.68446,212.52908,154.18544,95.79239,64.36778,4.5794463,229.13307,167.4588,111.504616,76.04593,47.6401,-4.585697,217.90936,656.1217,512.0428,226.44748,67.89801,54.538765,32.047165,798.62646,518.1679,360.05942,72.85642,55.21148,32.126915
