Trajectories
120
,,Subj1:LFHD,,,Subj1:RFHD,,,Subj1:LBHD,,,Subj1:RBHD,,,Subj1:C7,,,Subj1:T10,,,Subj1:CLAV,,,Subj1:STRN,,,Subj1:RBAK,,,Subj1:LSHO,,,Subj1:LUPA,,,Subj1:LELB,,,Subj1:LFRM,,,Subj1:LWRA,,,Subj1:LWRB,,,Subj1:LFIN,,,Subj1:RSHO,,,Subj1:RUPA,,,Subj1:RELB,,,Subj1:RFRM,,,Subj1:RWRA,,,Subj1:RWRB,,,Subj1:RFIN,,,Subj1:LASI,,,Subj1:RASI,,,Subj1:LPSI,,,Subj1:RPSI,,,Subj1:LTHI,,,Subj1:LKNE,,,Subj1:LTIB,,,Subj1:LANK,,,Subj1:LHEE,,,Subj1:LTOE,,,Subj1:RTHI,,,Subj1:RKNE,,,Subj1:RTIB,,,Subj1:RANK,,,Subj1:RHEE,,,Subj1:RTOE,,,Subj1:LHU,,,Subj1:LHD,,,Subj1:RHU,,,Subj1:RHD,,,Subj1:T12,,,Subj1:S1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,404.672455,193.229080,1754.338501,570.382996,204.089111,1746.153442,454.997009,43.654858,1733.083862,571.745850,89.986069,1727.343750,487.461090,81.669472,1575.436157,503.636353,36.710064,1241.140869,482.964233,198.297104,1495.668457,490.620239,249.099030,1309.983276,612.831665,10.267459,1388.819824,299.621277,128.006790,1533.812622,255.206909,115.536392,1379.567627,261.180725,86.544151,1179.209473,220.230011,152.144547,1006.396179,209.613327,202.332169,946.337341,262.834686,158.610062,913.967041,188.787460,198.601151,851.164490,654.938965,153.151154,1536.802612,732.424316,110.574219,1287.159912,732.843262,96.716667,1192.892822,762.266846,138.316956,1078.119507,753.441956,218.048294,943.947327,728.019836,154.602325,919.591125,802.754150,213.775162,847.963623,370.201691,223.293213,1057.837769,616.605042,228.280151,1046.821533,438.128601,58.475128,1080.877441,564.596130,64.464272,1079.699585,,,,335.347534,137.203964,541.238708,350.755096,82.157471,199.818146,369.284515,75.705048,59.834652,432.650513,34.354481,44.568390,325.857941,221.987442,27.450724,680.422302,183.501907,863.651672,657.012085,149.173752,557.671692,676.694641,126.746414,394.354980,,,,589.934204,47.261314,23.311455,679.110840,249.474243,27.137678,,,,,,,,,,,,,504.525909,47.447601,1198.750610,507.401154,59.803799,1069.045166
2,0,404.724731,193.547455,1754.345459,570.370300,204.395981,1746.274902,455.018005,43.949276,1733.077515,571.750671,90.190636,1727.351318,487.466553,82.070869,1575.417358,503.616638,36.831570,1241.212646,483.228790,197.910538,1495.643433,490.704254,249.215317,1309.979370,612.801086,10.387763,1388.886719,299.624573,128.249359,1533.833862,255.219254,115.656029,1379.571167,261.223328,86.565697,1179.246460,220.268784,152.024933,1006.410828,209.725311,202.171265,946.434998,262.956696,158.443619,914.121765,188.820831,198.331589,851.085632,654.995605,153.452118,1536.919556,732.443665,110.618622,1287.196655,732.852966,96.777641,1192.931152,762.308960,138.374649,1078.129150,753.578247,217.921524,943.870117,728.057495,154.505325,919.589722,802.876709,213.532944,847.962097,370.269043,223.364990,1057.816895,616.664185,228.272568,1046.817017,438.109589,58.535812,1080.925659,564.548035,64.457649,1079.726318,320.546265,191.450119,716.828125,335.370300,137.240402,541.256287,350.739166,82.196136,199.819595,369.278595,75.708031,59.823704,432.487976,33.557281,45.151482,325.820374,221.979233,27.476477,680.441833,183.483932,863.644958,657.025574,149.096481,557.732483,676.693115,126.760185,394.366333,,,,590.038330,47.194561,23.211386,679.146790,249.484680,27.155672,,,,,,,,,,,,,504.474945,47.523705,1198.808594,507.354248,59.827850,1069.075562
3,0,404.825043,193.860886,1754.336914,570.400757,204.588287,1746.238037,455.016846,44.249966,1733.067871,571.757751,90.421707,1727.392212,487.423157,82.207939,1575.518433,503.577240,36.930958,1241.279663,483.305420,198.257477,1495.559814,490.751099,249.357117,1309.916504,612.845459,10.344070,1388.822266,299.697418,128.496475,1533.837524,255.343948,115.899185,1379.546997,261.235992,86.543869,1179.309692,219.852020,152.183044,1006.441345,209.684982,201.954773,946.209351,262.926361,158.221603,913.953125,188.876831,198.092163,851.051575,654.893799,153.099670,1536.886108,732.478943,110.730080,1287.222168,732.874084,96.760529,1192.934326,762.368103,138.224380,1078.138794,753.525940,217.586670,943.673706,728.103271,154.387680,919.648010,803.007446,213.393066,847.906799,370.319580,223.448715,1057.784058,616.734497,228.313766,1046.789551,438.125824,58.402943,1081.228271,564.523132,64.502876,1079.773438,320.646210,191.512833,716.795959,335.407318,137.282150,541.223938,350.943756,82.208733,199.744598,369.230103,75.694427,59.857109,432.483215,33.867905,44.865486,325.850677,222.010681,27.494577,680.473694,183.428635,863.579041,657.056824,149.171951,557.648621,676.734314,126.754227,394.371429,,,,589.927856,47.227978,23.255301,679.154358,249.474777,27.088322,,,,,,,,,,,,,504.434753,47.587608,1198.848511,507.349487,59.833130,1069.185181
4,0,404.801544,194.067551,1754.345825,570.453613,204.723038,1746.210083,455.034882,44.491974,1733.098755,571.753662,90.714775,1727.440674,487.451416,82.509659,1575.495117,503.524017,37.031307,1241.322632,483.310059,198.394501,1495.431030,490.767120,249.462448,1309.813965,612.809753,10.493721,1388.905029,299.660889,128.831192,1533.833740,255.352737,116.022614,1379.568848,261.265808,86.596252,1179.312500,219.859085,152.115738,1006.406189,209.801025,201.898804,946.324524,262.937500,158.026169,913.930298,188.901871,197.865524,850.975647,654.891174,153.308456,1536.880493,732.473511,110.777634,1287.235474,732.879761,96.799866,1192.955688,762.387268,138.220032,1078.143555,753.588562,217.469147,943.609741,728.147888,154.314987,919.577026,803.072693,213.191910,847.923584,370.314514,223.523041,1057.718872,616.698303,228.274109,1046.790039,438.097900,58.454597,1081.238403,564.482300,64.554558,1079.797363,320.595764,191.582062,716.809631,335.867035,137.232239,541.127625,350.925903,82.302750,199.696747,369.265503,75.705559,59.860722,432.478729,33.653683,45.072960,325.871246,222.022690,27.451677,680.456970,183.479202,863.599304,657.060486,149.138458,557.709717,676.583374,126.603844,394.062714,,,,589.956238,47.258476,23.255619,679.154236,249.446136,27.099077,,,,,,,,,,,,,504.406158,47.683319,1198.913086,507.275818,59.836670,1069.194824
5,0,404.752319,194.392380,1754.300171,570.432007,204.171494,1746.252930,455.024506,44.917267,1733.093384,571.747864,91.114632,1727.408081,487.385040,82.780701,1575.549194,503.489563,37.134605,1241.376343,483.356750,198.590149,1495.427368,490.786407,249.657303,1309.781372,612.774414,10.615699,1388.978882,299.658051,129.115128,1533.810913,257.391083,116.415985,1379.317627,261.299988,86.613930,1179.348755,219.875656,152.003799,1006.373413,209.778625,201.720245,946.295105,262.924194,157.848068,913.913757,188.922516,197.612366,850.940674,654.873840,153.464157,1536.885254,732.449158,110.839668,1287.249756,732.870850,96.783836,1193.014404,762.385681,138.150131,1078.157715,753.617798,217.410751,943.574036,728.184753,154.178513,919.675049,803.115234,213.129883,847.817444,370.318420,223.604889,1057.712158,616.693726,228.266449,1046.765869,438.066986,58.506390,1081.279175,564.438538,64.579491,1079.840454,320.554657,191.595612,716.806396,335.348419,137.372253,541.223633,350.874054,82.336868,199.715820,369.248138,75.700195,59.828049,432.672424,34.443031,44.560242,325.847382,221.968048,27.431410,680.411377,183.393478,863.641602,657.021423,149.173981,557.621826,676.684998,126.764488,394.370331,,,,589.926025,47.313049,23.282503,679.106384,249.520630,27.099220,,,,,,,,,,,,,504.375702,47.771389,1198.951294,507.211639,59.916489,1069.222534
6,0,404.726654,194.730148,1754.295288,570.450562,205.205429,1746.284668,455.091522,45.141270,1733.117676,571.682312,91.648018,1727.381348,487.433777,82.894547,1575.628418,503.484894,37.307953,1241.404785,483.337860,198.856079,1495.454712,490.836823,249.787125,1309.755493,612.716980,10.871049,1389.127441,299.677185,129.377396,1533.844727,257.947754,116.730331,1379.349365,261.355072,86.626526,1179.385254,219.939453,151.851486,1006.380310,209.842880,201.536560,946.178101,262.996124,157.544510,913.969910,188.993454,197.359863,850.844543,655.002808,154.132904,1536.831421,732.451599,110.840698,1287.261597,732.921631,96.820824,1193.014893,762.404724,138.133606,1078.160889,753.531982,218.358627,944.069885,728.241638,154.108398,919.589294,803.144348,213.121429,847.825073,370.311859,223.691101,1057.697754,616.747437,228.272202,1046.767944,438.061157,58.559868,1081.282593,564.422363,64.609810,1079.825806,320.558838,191.637589,716.872070,335.904724,137.225189,541.139404,350.933472,82.296867,199.731903,369.263031,75.749771,59.788891,432.463440,33.874065,44.850407,325.845734,222.001358,27.478485,680.463196,183.373077,863.638306,657.065247,149.065033,557.654053,676.579468,126.540794,394.154022,,,,589.914612,47.260044,23.238659,679.108887,249.530655,27.105780,,,,,,,,,,,,,504.369690,47.840870,1198.985718,507.211914,59.920612,1069.271729
7,0,404.768677,195.127701,1754.290771,570.474854,204.803528,1746.253540,455.069366,45.476906,1733.121216,571.763306,91.775497,1727.447632,487.435608,83.200104,1575.619263,503.465607,37.361736,1241.452148,483.469910,199.049194,1495.388306,490.883057,249.912231,1309.690552,612.755493,10.862875,1389.041626,299.717346,129.656097,1533.837402,257.925049,116.880287,1379.312500,261.640167,86.794762,1179.350220,219.955078,151.780746,1006.379150,209.839417,201.467056,946.180237,263.022552,157.287064,913.983459,188.984665,197.096008,850.843689,654.959595,153.795074,1536.872437,732.484741,110.871132,1287.238037,732.939026,96.794258,1193.052612,762.482422,138.099899,1078.153198,753.614685,218.358139,944.051880,728.265137,154.085129,919.568298,803.213318,212.928223,847.800598,370.381195,223.777557,1057.690918,616.790222,228.283081,1046.744385,438.027161,58.651207,1081.270264,564.385864,64.648003,1079.884766,320.601959,191.624985,716.810425,335.456390,137.309662,541.217773,350.918457,82.320854,199.749374,369.236572,75.690224,59.793159,432.472870,33.738079,45.009342,325.882080,222.097046,27.448437,680.467346,183.309174,863.622864,657.081421,149.066177,557.609009,676.738770,126.771957,394.325775,,,,589.886780,47.286163,23.265049,679.144470,249.506927,27.069490,,,,,,,,,,,,,504.333557,47.940098,1199.030151,507.176819,59.921486,1069.265503
8,0,404.764587,195.463913,1754.203247,570.560059,205.077164,1746.213623,455.093262,45.757195,1733.115479,571.811646,91.992058,1727.429688,487.472687,83.311935,1575.660034,503.435791,37.477745,1241.514526,483.503845,199.196075,1495.313843,490.955078,249.913574,1309.564331,612.703308,11.143574,1389.216675,299.668213,129.890091,1533.889160,257.861847,117.061996,1379.343872,261.398468,86.700645,1179.457520,219.891068,152.072784,1006.282593,210.004333,201.373291,946.116394,263.035828,157.067047,913.926758,189.004883,196.910446,850.789185,655.062744,153.993896,1536.837524,732.533752,110.947739,1287.228149,732.927612,96.809387,1193.057739,762.512573,138.078949,1078.143433,753.751709,217.386917,943.572754,728.294128,154.011597,919.513855,803.250122,212.780121,847.855591,370.414307,223.814255,1057.621948,616.860718,228.319260,1046.707397,437.969147,59.233395,1081.032104,564.387817,64.672234,1079.896118,320.684509,191.642151,716.815002,335.953583,137.209473,541.129639,350.875763,82.252502,199.683395,369.264099,75.722252,59.793793,432.520050,33.906796,44.839611,325.877533,222.048050,27.390810,680.075684,183.219772,863.383545,657.135376,149.036392,557.604553,676.571289,126.614777,394.133606,,,,589.894470,47.365826,23.278690,679.173035,249.510788,27.128180,,,,,,,,,,,,,504.317627,47.997391,1199.103027,507.169495,60.001316,1069.287598
9,0,404.822601,195.792877,1754.171509,570.578918,206.353806,1746.263794,455.123230,46.051636,1733.131226,571.833191,92.518555,1727.346436,487.704987,82.635040,1575.738892,503.438354,37.593346,1241.569702,483.623199,199.475769,1495.278198,490.971985,250.037552,1309.551880,612.762817,11.114332,1389.145752,299.810822,130.234833,1533.828857,257.910797,117.211800,1379.323242,261.442017,86.744583,1179.445923,219.966263,151.718811,1006.326904,210.013367,201.307343,946.033875,263.020294,156.962616,913.869995,188.985748,196.696915,850.756836,655.118652,154.412674,1536.628174,732.558655,110.980812,1287.228516,732.944580,96.872879,1193.007446,762.536926,138.108490,1078.096680,753.790100,217.383057,943.525513,728.349792,153.965134,919.530212,803.316162,212.624466,847.820740,370.419434,223.964066,1057.589478,616.870422,228.375656,1046.652222,438.008759,58.788197,1081.346680,564.372375,64.677193,1079.930054,320.665527,191.670120,716.804871,335.497711,137.258331,541.222412,350.891998,82.229996,199.707275,369.243835,75.741653,59.789177,432.486816,33.917671,44.761166,325.906189,222.070557,27.372320,680.498718,183.351608,863.588013,657.074951,149.081482,557.652100,676.736023,126.865906,394.342255,,,,589.845581,47.357384,23.273760,679.133789,249.524979,27.056549,,,,,,,,,,,,,504.298676,48.110451,1199.131714,507.117340,60.011623,1069.351074
