X.Subj1:LFHD,X.Subj1:RFHD,X.Subj1:LBHD,X.Subj1:RBHD,X.Subj1:C7,X.Subj1:T10,X.Subj1:CLAV,X.Subj1:STRN,X.Subj1:RBAK,X.Subj1:T12,X.Subj1:S1,X.Subj1:LSHO,X.Subj1:LUPA,X.Subj1:LELB,X.Subj1:LFRM,X.Subj1:LWRA,X.Subj1:LWRB,X.Subj1:LFIN,X.Subj1:RSHO,X.Subj1:RUPA,X.Subj1:RELB,X.Subj1:RFRM,X.Subj1:RWRA,X.Subj1:RWRB,X.Subj1:RFIN,X.Subj1:LASI,X.Subj1:RASI,X.Subj1:LPSI,X.Subj1:RPSI,X.Subj1:LTHI,X.Subj1:LKNE,X.Subj1:LTIB,X.Subj1:LANK,X.Subj1:LHEE,X.Subj1:LTOE,X.Subj1:RTHI,X.Subj1:RKNE,X.Subj1:RTIB,X.Subj1:RANK,X.Subj1:RHEE,X.Subj1:RTOE,Y.Subj1:LFHD,Y.Subj1:RFHD,Y.Subj1:LBHD,Y.Subj1:RBHD,Y.Subj1:C7,Y.Subj1:T10,Y.Subj1:CLAV,Y.Subj1:STRN,Y.Subj1:RBAK,Y.Subj1:T12,Y.Subj1:S1,Y.Subj1:LSHO,Y.Subj1:LUPA,Y.Subj1:LELB,Y.Subj1:LFRM,Y.Subj1:LWRA,Y.Subj1:LWRB,Y.Subj1:LFIN,Y.Subj1:RSHO,Y.Subj1:RUPA,Y.Subj1:RELB,Y.Subj1:RFRM,Y.Subj1:RWRA,Y.Subj1:RWRB,Y.Subj1:RFIN,Y.Subj1:LASI,Y.Subj1:RASI,Y.Subj1:LPSI,Y.Subj1:RPSI,Y.Subj1:LTHI,Y.Subj1:LKNE,Y.Subj1:LTIB,Y.Subj1:LANK,Y.Subj1:LHEE,Y.Subj1:LTOE,Y.Subj1:RTHI,Y.Subj1:RKNE,Y.Subj1:RTIB,Y.Subj1:RANK,Y.Subj1:RHEE,Y.Subj1:RTOE,Z.Subj1:LFHD,Z.Subj1:RFHD,Z.Subj1:LBHD,Z.Subj1:RBHD,Z.Subj1:C7,Z.Subj1:T10,Z.Subj1:CLAV,Z.Subj1:STRN,Z.Subj1:RBAK,Z.Subj1:T12,Z.Subj1:S1,Z.Subj1:LSHO,Z.Subj1:LUPA,Z.Subj1:LELB,Z.Subj1:LFRM,Z.Subj1:LWRA,Z.Subj1:LWRB,Z.Subj1:LFIN,Z.Subj1:RSHO,Z.Subj1:RUPA,Z.Subj1:RELB,Z.Subj1:RFRM,Z.Subj1:RWRA,Z.Subj1:RWRB,Z.Subj1:RFIN,Z.Subj1:LASI,Z.Subj1:RASI,Z.Subj1:LPSI,Z.Subj1:RPSI,Z.Subj1:LTHI,Z.Subj1:LKNE,Z.Subj1:LTIB,Z.Subj1:LANK,Z.Subj1:LHEE,Z.Subj1:LTOE,Z.Subj1:RTHI,Z.Subj1:RKNE,Z.Subj1:RTIB,Z.Subj1:RANK,Z.Subj1:RHEE,Z.Subj1:RTOE
-87.45188804893615,78.52156195106386,-75.94132804893616,60.268021951063815,-4.568160048936136,-6.862685048936157,-18.733687048936133,-11.992812048936173,102.45790195106383,-5.799300048936175,-6.196303048936159,-171.06025504893614,-233.34611404893616,-234.93624704893617,-293.14160004893614,-314.48394604893616,-250.45463404893616,-320.17442204893615,154.69673295106384,221.7074139510638,221.58717495106384,267.58100995106383,302.1571209510638,251.66163795106388,312.1737839510638,-118.27351204893614,125.44410895106387,-63.17204104893614,50.31660595106382,-155.71955704893617,-126.30882104893618,-128.59364204893615,-114.36869704893616,-66.50605604893616,-120.40861404893616,175.11909595106385,147.3477339510639,169.2479419510638,129.94435295106382,68.33894495106381,130.37489495106388,197.4683449531915,185.2144389531915,63.941897953191486,58.13440695319149,37.61630195319149,6.680350953191487,163.23592295319148,216.90393795319147,-20.859646046808514,18.815217953191485,19.104801953191487,60.93846095319149,70.28896295319149,10.848501953191487,62.931414953191485,109.91492395319149,70.52714495319148,91.62065795319148,108.50910895319149,59.89349695319149,22.473056953191488,70.00641995319148,104.14803995319149,49.26809595319149,93.77503195319149,182.26325195319149,174.10983995319148,27.189366953191488,25.347275953191488,112.79163295319148,98.6611399531915,46.307627953191485,29.703940953191488,-11.305634046808514,195.38739695319148,163.42830595319148,125.60890195319149,89.03988595319149,48.67530395319149,15.813422953191488,216.0261299531915,1712.248535,1710.443115,1718.363647,1708.395752,1557.649414,1235.12854,1490.181396,1319.586792,1376.814331,1192.813965,1082.372192,1501.423584,1355.172485,1150.311157,979.45813,910.598938,891.062927,815.328552,1516.526733,1284.012817,1176.862793,1076.287842,922.87561,909.069214,821.239807,1048.285278,1049.865723,1085.346313,1091.632446,705.474548,533.327454,217.046799,72.872681,53.830448,30.644011,889.509827,529.846497,403.463501,71.384193,47.346756,31.334057
-87.00844302893614,78.65837481106384,-76.15060030893615,60.01736373106386,-4.709957968936145,-6.797383048936134,-18.696776388936144,-11.965543928936148,102.52241047106389,-5.732990928936166,-6.1579261889361385,-171.24037010893616,-233.30448734893616,-235.29453142893615,-293.46830618893614,-313.84671112893614,-250.90009524893617,-320.4745732089362,154.6332782510638,221.8159917310638,221.96910275106384,267.71418131106384,302.2976852110638,252.08524249106387,312.4111103510639,-118.13198620893613,125.51350191106383,-63.12376822893616,49.74676831106384,-155.74739882893616,-126.38964216893615,-128.01123950893614,-114.42200140893617,-66.45782002893614,-120.28318008893615,174.9876226110638,147.49194171106382,169.2470295110639,129.77349343106388,68.08607753106385,130.3696343110638,200.48150039319148,188.12252127319147,66.71039865319149,60.87974957319149,38.17234187319149,6.206932313191487,163.4587996331915,216.73031215319148,-20.529558806808513,18.197050653191486,18.352482413191485,61.48416107319149,71.15540771319148,11.922561953191488,64.43286725319149,111.55319527319149,71.02383123319149,92.93604903319148,108.8183265131915,60.20336857319148,22.47499515319149,70.91249667319148,104.84042457319148,49.97176675319149,94.65617059319149,181.35545135319148,173.2694384131915,26.470990413191487,26.551489733191488,112.09127721319149,98.23900053319149,46.25879451319149,29.70876257319149,-11.301318826808513,195.3599104331915,162.6943617531915,125.45501747319149,89.12332641319148,48.95157633319149,15.312772193191488,216.0702471731915,1710.85618392,1709.3156423,1719.46646762,1709.49688482,1557.96118646,1235.39495618,1489.9217581,1319.30772462,1377.10515134,1193.05763906,1082.60320586,1501.50755364,1354.9997049,1150.14623524,979.36442286,910.2841183200001,890.78165034,815.15938688,1516.401885,1283.9625538999999,1176.8847413,1076.18491476,922.71310936,908.97126338,821.2453269,1048.24741216,1049.7015892000002,1085.5625876000001,1090.9607962999999,705.53630378,533.40910422,216.79776042,72.86329222,53.80677136,30.607347,889.4809689,529.98075794,403.48069794,71.2065426,47.517102300000005,31.35975232
-87.00424324893613,78.63470399106382,-76.42587680893614,59.79498775106386,-4.7860148889361405,-6.704350728936163,-18.750758328936158,-11.909945688936153,102.59075155106386,-5.638723848936151,-6.0783240089361765,-171.33064620893614,-231.54282120893615,-235.64181196893617,-293.5837200089362,-313.21705272893615,-251.38714384893615,-320.7902446089362,154.72345443106386,221.87577875106382,222.16694767106384,267.87264083106385,302.27704299106387,252.50620043106386,312.74682831106384,-118.09797404893615,125.42189391106385,-62.77996008893616,50.227033431063816,-155.69534472893616,-126.47934120893615,-128.03095512893617,-114.39502828893616,-66.66649580893616,-120.40263380893617,175.3507346710638,147.41284875106388,169.07848319106384,129.92241195106385,68.04686243106383,130.31430115106383,203.6331478331915,190.9043390731915,70.05324779319149,63.62712115319148,38.77765447319149,5.677613913191488,164.14159811319146,216.5489325531915,-20.50779316680851,17.526897273191487,17.414706953191487,62.31808103319149,72.36158039319149,13.241292913191486,66.59031695319149,113.93850139319149,71.68743719319149,94.97376251319149,109.36912679319148,61.233635313191485,23.818107673191488,71.97168219319148,106.4073937531915,51.039002113191486,95.7624841931915,180.4340803131915,172.3527219931915,25.49186135319149,24.31804179319149,111.37545499319148,97.76009631319148,46.05742595319149,29.693360193191488,-11.662548406808513,195.3304779131915,161.91523075319148,125.08092895319149,89.5138983531915,48.75207615319149,15.284277953191488,216.00821531319147,1709.4032570000002,1708.09804204,1720.4223486399999,1710.6453999999999,1558.3747513600001,1235.7346534800001,1489.75948252,1318.90713844,1377.5700144,1193.33051764,1082.83183108,1501.38734868,1354.65472672,1149.9411766,979.08326892,909.97200916,890.4992945199999,815.07023484,1516.60748568,1283.46035664,1176.44274864,1076.07628912,922.60802988,908.9502438000001,821.23138444,1048.2295898,1049.6754737200001,1085.73452676,1091.6716013999999,705.51643552,533.50949944,216.75080476,72.78067456,53.995565559999996,30.690328320000003,889.5974731199999,529.99373312,403.37246796,71.35431128,47.46163764,31.38989276
-87.07282470893615,78.76132675106382,-76.56770710893615,59.640169391063864,-4.778523408936156,-6.574875048936141,-18.49792326893615,-11.705704148936153,102.67659119106382,-5.49960382893613,-6.014115248936168,-171.28438286893612,-231.44194732893615,-235.60726188893616,-293.3244018489362,-312.34030868893615,-251.53769380893615,-320.97918914893614,154.8549692110639,222.08578863106388,222.36597095106387,267.98024277106384,302.42754691106387,253.02980647106384,313.1586130310638,-117.88981890893615,125.5179758510638,-62.99569906893617,49.80352157106385,-155.73287802893614,-126.47409076893618,-127.97197700893614,-114.47578744893615,-66.76634592893615,-120.29351712893614,175.1760344510638,147.34316833106382,168.9973116710638,129.7810786910638,68.02338005106382,130.44809779106382,207.04242097319147,194.2040222131915,73.71181717319149,66.94458111319149,39.747336093191485,5.070178793191488,164.7700544331915,216.37665877319148,-20.274744426808514,16.748722493191487,16.324184133191487,63.26860231319149,73.54231859319148,14.912673333191487,68.99273059319148,116.5060556331915,72.6320222931915,97.3833238331915,110.2121108931915,62.21806413319148,25.031785653191488,73.4528597931915,108.33299653319148,52.462138533191485,97.46901739319148,179.1524188731915,171.24253073319147,24.415015593191487,24.840194513191488,110.40412465319149,97.11070241319149,45.81934133319149,29.651477993191484,-11.515098266808511,195.2812135531915,160.8594182131915,125.23565525319148,89.52407875319149,48.87806757319149,15.032714153191487,216.1799259131915,1707.79004854,1706.8350512799998,1721.29009272,1711.72854736,1558.81527106,1236.22656246,1489.4431419599998,1318.41249298,1378.06053006,1193.7248140600002,1083.00397226,1501.38768308,1354.59513918,1149.75131852,978.85686536,909.73617198,890.0574777600001,815.0460494600001,1516.62132352,1283.09026152,1176.3687548999999,1075.8036552600001,922.4861889599999,908.6320297,821.08583766,1048.29577628,1049.5961520199999,1086.0812357799998,1091.18417474,705.5862796800001,533.5989310799999,216.74484474000002,72.79233022,54.039167920000004,30.661399399999997,889.53083178,530.06642804,403.32319042,71.19937018,47.48530338,31.449831640000003
-86.95264916893615,78.79595907106383,-76.76281900893615,59.50856131106385,-4.853612168936156,-6.489204648936127,-18.516315288936177,-11.701689408936138,102.76217995106387,-5.403938448936146,-5.95235612893616,-171.31900776893616,-231.40051464893614,-236.15312996893616,-293.5949168489362,-311.61370032893615,-251.63912344893615,-320.93831556893616,154.79152567106382,222.32218911106384,222.61237231106384,268.24139139106387,302.32868095106386,253.5534543510638,313.6298577510638,-118.12153592893617,125.44949431106383,-62.87419148893616,50.31213139106388,-155.73063476893617,-126.55511512893614,-128.00591132893612,-114.45181460893616,-66.62104536893615,-120.39644084893617,174.82985087106388,147.1830198710638,168.9147746710638,129.88278483106384,68.03791707106384,130.31163803106384,210.91201559319148,197.6533123131915,77.82173987319149,70.43200351319149,41.39622159319149,4.457236993191487,165.83436079319148,216.2897004731915,-20.020520326808512,15.929672393191488,15.106541273191489,64.57784523319148,74.97389523319148,16.988072433191487,71.45723451319148,119.57688015319148,74.21851327319149,100.07494183319149,111.09339151319148,63.216635513191484,26.799400953191487,75.04735043319148,110.46350955319149,54.16952191319148,99.34718775319149,178.0935064731915,169.97226831319148,23.232932353191487,22.202527393191488,109.39059215319149,96.62204423319149,45.55811415319149,29.598467593191486,-11.726569326808512,195.24363487319147,159.74319015319148,125.03201351319149,89.55447251319148,48.80424795319149,15.131005793191488,215.9599941531915,1705.96836936,1705.4967721199998,1722.09596652,1712.9101173200002,1559.3167724,1236.764585,1488.9763574,1317.80572264,1378.7305369599999,1194.19448268,1083.28595232,1501.4806492399998,1354.52256324,1149.5715480800002,978.84767592,909.4451192,889.82818136,814.84745084,1516.497305,1282.92222672,1175.88400852,1075.66214824,922.1990672000001,908.41735596,821.0334208,1048.34571292,1049.55244604,1086.32483396,1092.02096696,705.6277954,533.7963844,216.67541048,72.742447,53.83301676,30.69477276,889.54943112,530.08166724,403.24069972,71.26673124,47.370041719999996,31.48155984
-86.84974234893616,79.07681155106387,-76.76238854893616,59.32086035106384,-4.8992386489361595,-6.361018848936174,-18.383482048936163,-11.510459848936176,102.98624735106388,-5.243403748936169,-5.879255548936152,-171.33828564893616,-231.33343994893616,-236.42019204893617,-293.1834079489361,-310.63352194893616,-251.56562824893615,-320.6243443489362,154.83680265106383,222.6575786510639,223.19030005106384,268.4985397510639,302.1525676510638,254.1267867510639,313.7609849510638,-118.46169594893617,125.57700675106386,-62.75115194893617,50.485258251063875,-155.81799754893615,-126.51538854893614,-127.97414094893615,-114.47373534893615,-66.76537934893615,-120.27212684893617,174.97663435106386,147.36222395106387,168.8679852510638,129.6301069510638,68.14549425106385,130.3808640510638,214.95537035319148,201.3643690531915,82.10585975319148,74.42483185319149,42.99096815319149,3.8210159531914876,166.8547323531915,216.2185980531915,-19.544147346808515,15.069397453191488,13.774945153191489,66.07944235319148,76.71980905319148,19.39106655319149,74.60551045319148,122.63140695319149,76.02539715319149,103.02155825319149,112.26752665319148,64.57733885319149,28.042158053191486,77.17105345319149,112.4564743531915,56.215576253191486,101.91709785319149,176.9043618531915,168.45925865319148,21.771434153191485,20.685138753191488,108.2497690531915,95.7950255531915,45.30701405319149,29.65378305319149,-11.882118546808512,195.19511825319148,158.41026725319148,124.72089965319148,89.51984465319148,49.02826185319149,15.338651053191489,215.9906851531915,1704.1705444,1704.0198609,1722.9037718000002,1714.2200802,1559.874341,1237.3726316,1488.4859621,1317.1375246,1379.4569822,1194.7262572,1083.5367918,1501.6441897,1354.4166746,1149.3817136,978.5590027,909.0258847,889.6148072999999,814.6461057,1516.3244628,1282.6521969,1175.6682861,1075.362781,921.8072327000001,908.0887391,820.651526,1048.4169069,1049.3918579,1086.6924803,1092.3509521,705.6730773,533.7744691,216.6831037,72.701417,53.978213100000005,30.710825999999997,889.5870364,530.1766966,403.25653090000003,71.0168832,47.3059558,31.516562699999998
-86.91483448893618,79.16609847106389,-76.75451532893612,59.30908691106388,-4.916411848936177,-6.208120408936138,-18.259140968936165,-11.37365528893613,103.30074379106381,-5.025297208936151,-5.727660128936159,-171.36833672893613,-231.12273096893614,-236.63494716893615,-292.56485212893614,-309.59614164893617,-251.64474808893615,-320.15224416893614,154.8228291110638,222.99062191106387,223.5725021110638,268.65958195106384,301.9572551510638,254.6915032310639,313.7461936710639,-118.25841840893618,125.49461827106389,-62.60126980893616,50.088781631063796,-155.81631676893616,-126.50098408893614,-127.93481140893617,-114.47673120893616,-66.74776444893617,-120.30309320893616,175.03061039106382,147.41848571106382,168.79542151106386,129.95296055106385,68.13468223106388,130.27665223106388,219.29782175319147,206.14232127319147,86.9468203131915,79.17363703319148,45.018531193191485,3.109470433191488,168.31528387319148,216.36889363319148,-19.079067966808513,14.030819713191487,12.245210713191488,67.83241791319149,78.74819971319148,22.022832313191483,78.16502011319149,126.82807491319149,78.31395875319149,106.81519255319148,113.7305396331915,66.39443195319149,30.305214953191484,79.70827631319149,115.78303407319149,58.465140153191484,104.82365075319149,174.99396427319147,166.90410111319147,20.32076895319149,20.77874111319149,107.08703227319148,94.93190283319149,45.08115819319149,29.488212193191487,-11.952289926808511,195.17241751319148,157.0787448731915,124.90545243319148,89.4498206331915,48.75028407319149,15.326602553191488,215.8524781531915,1702.1491166800001,1702.424424,1723.60020472,1715.0157621199999,1560.3975288000001,1238.04270512,1487.90638648,1316.34904256,1380.28119096,1195.34760704,1083.8666117599998,1501.75033176,1354.36173356,1149.1290671200002,978.2725930400001,908.81918184,889.3057522800001,814.4549516000001,1516.19059576,1282.22585496,1175.24311476,1074.8549368400002,921.4224049999999,907.7021925600001,820.3151958,1048.3716606,1049.3734762000001,1087.02690916,1091.9360208,705.7015231199999,533.75014672,216.63385128000002,72.67714092,53.91048676,30.781180799999998,889.6519088,529.97937756,403.17476824000005,71.3137998,47.28196832,31.54626924
-86.54814546893616,79.16136913106384,-76.80782424893617,59.33671597106385,-4.955982128936166,-6.005411388936161,-18.062746088936162,-11.210967608936139,103.67291953106383,-4.787376868936149,-5.603354348936172,-171.39728128893617,-230.80420662893616,-236.74646338893615,-292.46685738893615,-307.4893714489362,-251.55432930893616,-319.71749356893616,154.9397090310638,223.39443089106382,224.2601788110638,268.81203485106386,301.7195000910638,255.16036463106383,313.65633413106383,-118.04512920893616,125.10607413106386,-62.26794696893616,50.17718975106386,-155.82716326893615,-126.54798458893615,-127.92382906893614,-114.53547006893614,-66.84798134893614,-120.25761786893614,175.04810185106385,146.8394427710639,168.65991693106386,129.58544723106388,68.1275083510639,130.31684207106383,224.2288902731915,210.58073565319148,92.20177487319148,84.11787193319148,47.178714753191485,2.3908539131914877,169.6969874931915,216.3725738731915,-18.267751506808512,13.028830933191488,10.549496953191488,69.83565701319148,80.91925131319148,24.985931013191486,82.30776793319149,131.41993493319148,80.83415167319149,111.45275801319148,115.43684689319149,68.56128305319149,32.30418549319149,82.67637605319149,119.20205837319148,61.40648523319149,108.17840579319149,173.11477847319148,165.01797805319148,18.68061717319149,19.25079035319149,105.7261404931915,93.96864825319149,44.73769379319148,29.49369257319149,-11.794409166808512,195.12563749319148,155.4584691931915,123.82310131319149,89.29100449319148,49.010348833191486,15.353422833191487,215.8420252331915,1700.02101806,1700.63316364,1724.16112546,1715.91219246,1561.09134782,1238.87208506,1487.209253,1315.43309364,1381.21063478,1196.02813456,1084.19708268,1501.87361074,1354.29566604,1148.9161747800001,978.27894782,908.52494654,889.12842292,814.4555861,1515.8564865,1281.80347886,1174.71902336,1074.47736856,920.84654294,907.2278785,819.84159056,1048.35756848,1049.2786205,1087.46963386,1092.14413364,705.79367156,533.8400526,216.58402752,72.6185322,53.7763658,30.77827318,889.62051246,529.96488366,403.10111847999997,70.97191014,47.22571842,31.594477599999998
-86.40106252893615,79.5705541110639,-76.78110724893615,59.43279523106381,-4.898798888936151,-5.732938448936159,-17.789971288936158,-11.079420568936161,104.01641047106384,-4.507067168936165,-5.429407968936143,-171.39411304893613,-230.55477356893616,-236.90014164893614,-291.5407912089361,-305.36116608893616,-251.98469268893615,-319.08926560893616,155.0232567110638,223.64548527106385,224.72545871106382,268.73714563106387,301.1682171110638,255.61165699106382,313.33575167106386,-118.14377576893614,125.49427907106386,-62.14148096893617,50.5489397510638,-155.99459876893616,-126.61427312893613,-127.52259064893616,-114.53130540893615,-66.86932696893615,-120.29842168893616,175.01042907106387,146.66909855106383,168.64046579106383,129.69993135106387,68.0113643110639,130.2853877510638,229.5498507531915,215.3626186731915,97.9087426331915,89.70044187319148,49.82568691319148,1.7302557531914877,171.40176715319149,216.4465533531915,-17.422815726808516,11.927826833191487,8.806641153191487,72.13768359319148,83.31757963319149,28.309468633191486,86.84153471319148,136.64851551319148,82.74868239319149,116.80807947319148,117.36221547319148,71.10033175319148,35.632065593191484,86.01875323319148,123.38684391319148,64.62701947319148,112.43006891319148,171.1065744731915,163.4662671531915,16.949933673191488,16.822506313191486,103.88539903319149,92.95497851319149,44.37902535319149,29.363015233191486,-11.966440886808513,195.1063709531915,153.7134869531915,123.05077887319149,88.75308391319149,48.79214571319149,15.122558513191487,215.90419875319148,1697.63663104,1698.59406264,1724.6173244400002,1716.6200538399999,1561.69311532,1239.78072792,1486.36706504,1314.45176276,1382.2323926,1196.84292476,1084.54910632,1502.0358103199999,1354.3066018,1148.71667004,978.2160622,908.2484200399999,889.15947784,814.4451003199999,1515.56634288,1281.1493457200002,1174.0472363200001,1073.9457766,920.33244884,906.65655264,819.22880876,1048.26803668,1049.2621584800002,1087.91969228,1092.8129246400001,705.73804936,533.89793732,216.37381568,72.5758038,53.75645672,30.797009799999998,889.64662352,530.0658378,403.12446444,71.15593348,47.26974104,31.58919316
-86.48514984893617,79.7007311710639,-76.63698788893613,59.577033431063875,-4.770914248936136,-5.444537948936147,-17.50825240893613,-10.908276508936142,104.44792603106382,-4.204761748936167,-5.181845928936143,-171.24446408893616,-230.03357278893614,-237.28705768893616,-290.69963630893614,-303.53335712893613,-251.48455470893614,-318.0932443889361,155.1599430710638,223.90438797106387,225.04381871106386,268.6252109110638,300.3428363510638,256.3506931710639,313.12266603106383,-118.23534016893618,125.4437277310638,-61.944077728936165,50.4945805710638,-155.98694892893613,-126.67027980893616,-127.76920368893616,-114.57341132893616,-66.86228092893617,-120.29485140893617,175.14304775106385,146.74374479106385,168.66679287106388,129.74387925106387,67.88709209106382,130.3495469710638,235.0024038131915,221.0298278731915,104.11928553319149,95.64825985319149,52.80282347319149,1.0842134331914877,173.34666709319148,216.6313566931915,-16.33200092680851,10.915489113191487,6.9477477331914885,74.50922785319148,85.80732981319149,32.008783633191484,91.84954837319148,141.66817147319148,87.11913349319148,122.28755265319148,119.67529843319149,73.79012847319149,38.82881669319149,89.86166477319149,127.98742973319148,67.52858223319149,116.99746927319148,169.01207679319148,161.6273143931915,15.079317533191489,15.68475553319149,102.27461661319148,91.77908619319149,43.854569093191486,29.256041273191485,-12.030654426808512,195.18146605319149,151.9979613931915,122.07814843319149,88.1364615331915,48.733408933191484,14.724697893191488,215.88479429319148,1695.07060306,1696.46161862,1724.9713626599998,1717.20370586,1562.44082266,1240.7776072200002,1485.57750028,1313.33388418,1383.25324952,1197.66441928,1085.05569832,1502.20443616,1354.42638892,1148.54974602,978.00527442,907.88470942,888.72932468,814.41092548,1515.3061333,1280.69499244,1173.4854244599999,1073.3478345199999,919.80659424,906.40411722,818.7515392800001,1048.27326894,1049.1205149,1088.4720019,1093.01057364,705.88733998,533.9659169199999,216.47031565999998,72.57230197999999,53.692644300000005,30.754079339999997,889.8391105000001,530.2009224,403.09363176,71.0840956,47.330234440000005,31.69479774
