,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,-38.389305,-35.81883,-21.290665,-23.044212,74.559746,-32.142677,-30.649317,-138.79164,110.63227,-106.58196,33.182785,131.49377,83.68971,269.36667,301.83206,40.423676,99.89983,117.81625,296.27798,282.03363,119.27716,108.777115,1516.9148,1159.895,1413.0889,1246.9152,1350.3566,1117.4608,1018.1395,973.18054,970.8209,1019.2031,1019.8335
1,-38.40119,-35.88336,-21.396759,-23.278126,74.95769,-32.237648,-30.763939,-138.99266,110.407555,-106.684105,33.074806,132.9242,83.02616,270.2779,301.73492,41.040855,99.09977,116.88031,295.1964,281.16583,118.30824,107.91814,1517.3734,1160.5532,1412.9089,1246.6508,1351.2656,1117.9701,1018.3801,973.26105,970.8792,1019.45795,1020.03406
2,-38.401787,-35.94502,-21.500988,-23.498505,75.36658,-32.32583,-30.873613,-139.18816,110.179375,-106.78566,32.970985,134.3539,82.32879,271.1973,301.6256,41.667343,98.26072,115.91609,294.09332,280.26245,117.30847,107.02049,1517.8441,1161.2229,1412.7338,1246.3828,1352.1956,1118.492,1018.62494,973.3551,970.942,1019.7167,1020.24524
3,-38.380745,-36.005085,-21.601727,-23.69582,75.79769,-32.404644,-30.976118,-139.37537,109.94201,-106.88704,32.873325,135.8029,81.56401,272.13925,301.4882,42.320297,97.34162,114.88475,292.93524,279.27783,116.23816,106.03844,1518.3397,1161.9226,1412.5586,1246.1014,1353.1715,1119.0458,1018.8808,973.4748,971.0144,1019.9863,1020.4786
4,-38.33291,-36.072987,-21.69896,-23.866928,76.25818,-32.47966,-31.073175,-139.55286,109.69083,-106.99048,32.78047,137.29596,80.7089,273.11383,301.30493,43.013985,96.312355,113.75343,291.69397,278.17435,115.06571,104.93581,1518.869,1162.6683,1412.3717,1245.7931,1354.2113,1119.6483,1019.151,973.6278,971.102,1020.2706,1020.7397
5,-38.258812,-36.165176,-21.794361,-24.016163,76.75103,-32.565113,-31.171082,-139.72102,109.42337,-107.10036,32.686962,138.86102,79.754166,274.1258,301.0585,43.757816,95.15733,112.49773,290.3485,276.92538,113.77048,103.6891,1519.4359,1163.4713,1412.1544,1245.4412,1355.3242,1120.313,1019.4356,973.8164,971.21045,1020.5696,1021.02747
6,-38.163406,-36.29998,-21.890812,-24.154331,77.27649,-32.681232,-31.280056,-139.88222,109.14018,-107.22287,32.583534,140.52693,78.703964,275.17578,300.73608,44.55545,93.8761,111.101974,288.88513,275.51593,112.34284,102.287445,1520.04,1164.3387,1411.8838,1245.0284,1356.5139,1121.0491,1019.73303,974.03754,971.34357,1020.8814,1021.3355
7,-38.053627,-36.49018,-21.991447,-24.295856,77.833984,-32.84896,-31.412277,-140.04034,108.8453,-107.3649,32.45861,142.32042,77.572975,276.26227,300.33307,45.40542,92.48124,109.55809,287.2954,273.9412,110.7821,100.7303,1520.6782,1165.274,1411.537,1244.5393,1357.7812,1121.8624,1020.0424,974.2837,971.50195,1021.2057,1021.65594
8,-37.935524,-36.736294,-22.098434,-24.4548,78.42329,-33.083572,-31.578905,-140.1999,108.54579,-107.53238,32.300762,144.2632,76.3817,277.38428,299.85486,46.303352,90.994,107.8636,285.57352,272.20416,109.09317,99.02375,1521.3464,1166.2786,1411.0977,1243.9644,1359.128,1122.7555,1020.366,974.5446,971.6815,1021.54614,1021.9829
9,-37.81211,-37.02334,-22.211803,-24.640747,79.044235,-33.389034,-31.786728,-140.36462,108.25041,-107.72847,32.101723,146.36987,75.15141,278.5432,299.31622,47.245342,89.438866,106.01955,283.71387,270.3124,107.283066,97.17679,1522.0419,1167.3529,1410.5597,1243.3032,1360.5574,1123.7283,1020.7099,974.8094,971.87335,1021.9125,1022.316
10,-37.68238,-37.32264,-22.328693,-24.856083,79.69506,-33.754967,-32.035408,-140.53664,107.967186,-107.9519,31.85912,148.64731,73.90011,279.7437,298.7377,48.23137,87.83836,104.0291,281.71027,268.2756,105.357956,95.19851,1522.7631,1168.4991,1409.929,1242.5658,1362.0724,1124.7797,1021.0834,975.06793,972.0648,1022.3201,1022.66113
11,-37.541595,-37.59823,-22.443207,-25.095291,80.37029,-34.157215,-32.316338,-140.71652,107.700745,-108.19615,31.578127,151.09547,72.64037,280.99304,298.14136,49.267723,86.2094,101.89668,279.55615,266.10358,103.321655,93.09683,1523.51,1169.7202,1409.2222,1241.7708,1363.6722,1125.9075,1021.4974,975.31256,972.24194,1022.78796,1023.03015
12,-37.382545,-37.81553,-22.547047,-25.3466,81.05983,-34.56197,-32.613785,-140.90443,107.44992,-108.44975,31.271442,153.70972,71.37933,282.29977,297.5467,50.367466,84.56196,99.628235,277.24698,263.8056,101.17551,90.87904,1524.2819,1171.0203,1408.4623,1240.9418,1365.3494,1127.1095,1021.96265,975.53894,972.3922,1023.3342,1023.4386
13,-37.197334,-37.949474,-22.630852,-25.595203,81.750015,-34.93245,-32.908203,-141.10155,107.20665,-108.69791,30.957294,156.48349,70.12029,283.67206,296.96857,51.548775,82.90007,97.231964,274.78235,261.3905,98.91999,88.55357,1525.0756,1172.403,1407.6721,1240.1019,1367.0883,1128.3828,1022.4879,975.7459,972.5073,1023.9728,1023.9026
14,-36.979034,-37.989655,-22.685715,-25.826832,82.42693,-35.236366,-33.180786,-141.31137,106.95671,-108.92519,30.655947,159.41046,68.86532,285.11627,296.417,52.831734,81.22457,94.71962,272.16827,258.86737,96.55721,86.132034,1525.8842,1173.8689,1406.8682,1239.2681,1368.8676,1129.7239,1023.07904,975.9347,972.5844,1024.71,1024.4357
15,-36.722954,-37.941513,-22.704578,-26.030556,83.08086,-35.452354,-33.417828,-141.53964,106.68256,-109.11881,30.385529,162.48546,67.617966,286.63638,295.899,54.234573,79.53654,92.107605,269.4182,256.2469,94.093575,83.63067,1526.6954,1175.414,1406.0558,1238.447,1370.6633,1131.1271,1023.7387,976.10736,972.6257,1025.5438,1025.0463
16,-36.427536,-37.823875,-22.683105,-26.200058,83.70999,-35.573753,-33.613503,-141.79306,106.36737,-109.27145,30.158375,165.70331,66.38539,288.23376,295.4205,55.770454,77.84003,89.41756,266.55286,253.54218,91.54184,81.07046,1527.4924,1177.0283,1405.229,1237.6348,1372.4537,1132.585,1024.4661,976.2649,972.6363,1026.465,1025.7363
17,-36.094727,-37.66402,-22.61993,-26.333534,84.322205,-35.608902,-33.770164,-142.07684,105.99948,-109.38289,29.978943,169.05598,65.17915,289.90735,294.98853,57.44565,76.143425,86.67584,263.59833,250.77008,88.921776,78.475784,1528.2549,1178.6958,1404.3721,1236.8182,1374.221,1134.0873,1025.2562,976.40625,972.6219,1027.4585,1026.4996
18,-35.72995,-37.491432,-22.516457,-26.432755,84.93382,-35.577736,-33.896156,-142.39232,105.5758,-109.459625,29.843964,172.52875,64.01449,291.65356,294.61157,59.2591,74.45909,83.91226,260.58383,247.95242,86.25919,75.8722,1528.9617,1180.3956,1403.4648,1235.9808,1375.9524,1135.6216,1026.0996,976.52747,972.5861,1028.5071,1027.3228
19,-35.34156,-37.331398,-22.376564,-26.501999,85.56619,-35.505596,-34.001804,-142.73544,105.10321,-109.51236,29.744743,176.09648,62.907906,293.4649,294.29865,61.20317,72.80182,81.158264,257.53912,245.11737,83.5838,73.284355,1529.593,1182.1044,1402.4896,1235.1068,1377.6377,1137.1729,1026.9822,976.62305,972.52997,1029.5928,1028.1863
20,-34.93978,-37.199398,-22.206303,-26.547283,86.24084,-35.415848,-34.09495,-143.09702,104.59754,-109.551956,29.670956,179.72113,61.87377,295.32855,294.0569,63.264503,71.18693,78.44502,254.49255,242.30074,80.926476,70.735054,1530.1334,1183.7977,1401.4364,1234.1866,1379.2665,1138.7239,1027.8853,976.68774,972.4516,1030.6982,1029.0669
21,-34.53502,-37.09728,-22.013603,-26.575798,86.97493,-35.323387,-34.177597,-143.46469,104.0801,-109.585205,29.614626,183.3511,60.920525,297.22424,293.88837,65.424576,69.6288,75.80228,251.47057,239.54623,78.31696,68.24581,1530.5723,1185.4521,1400.3069,1233.2191,1380.8254,1140.2546,1028.7874,976.7189,972.3481,1031.8074,1029.9407
22,-34.135788,-37.012337,-21.807892,-26.595322,87.77793,-35.231155,-34.244907,-143.82631,103.57263,-109.61212,29.573,186.92302,60.04753,299.12335,293.78766,67.65943,68.140076,73.257614,248.49898,236.90344,75.782364,65.83851,1530.9045,1187.0461,1399.1154,1232.2113,1382.2969,1141.7427,1029.6666,976.71814,972.2168,1032.9037,1030.786
