,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,-8.639971,-6.014882,-18.047974,-14.6575775,89.47862,-4.8722277,-1.7636833,-120.60031,124.70677,-58.756104,53.34747,23.815414,16.292448,152.53223,214.07137,-33.584457,30.215622,32.97618,193.80128,194.17139,39.323147,43.532486,1551.1796,1227.1302,1488.0328,1320.8271,1347.2848,1186.3164,1079.6545,1044.774,1047.6359,1082.8322,1088.8735
1,-8.577448,-5.972439,-18.276314,-14.745197,89.77404,-4.8721266,-1.6459503,-120.60436,124.81779,-58.624096,53.53868,24.457253,16.114737,153.00035,214.09175,-33.355934,30.006504,32.624607,193.41847,193.72786,38.97724,42.93923,1551.3905,1227.2756,1487.7704,1320.5238,1347.483,1186.4187,1079.7698,1044.6602,1047.604,1082.9429,1089.0985
2,-8.501276,-5.930311,-18.484596,-14.84145,90.08378,-4.868103,-1.5245285,-120.61401,124.91933,-58.493065,53.71174,25.16381,15.899969,153.49658,214.1056,-33.117447,29.754963,32.22438,192.98499,193.23819,38.583595,42.366158,1551.6312,1227.4462,1487.4954,1320.1906,1347.7081,1186.5388,1079.8928,1044.546,1047.5729,1083.0608,1089.2991
3,-8.396788,-5.8827467,-18.657322,-14.952616,90.427864,-4.8513765,-1.3940659,-120.63269,125.00398,-58.36121,53.857555,26.022316,15.612946,154.06693,214.11101,-32.845,29.417316,31.71814,192.43704,192.64914,38.083183,41.799347,1551.9309,1227.6742,1487.1896,1319.7911,1347.9985,1186.7019,1080.034,1044.4313,1047.5438,1083.1967,1089.4639
4,-8.253748,-5.8215084,-18.787373,-15.081549,90.82423,-4.8129606,-1.2497158,-120.65991,125.06953,-58.22587,53.979664,27.102654,15.2283125,154.75067,214.10802,-32.517876,28.960903,31.06242,191.72435,191.92271,37.428596,41.19706,1552.3115,1227.9852,1486.8401,1319.2986,1348.3904,1186.9288,1080.2014,1044.3171,1047.5189,1083.3579,1089.5967
5,-8.066748,-5.7366743,-18.876713,-15.227619,91.28791,-4.7448606,-1.0877743,-120.69138,125.118385,-58.083794,54.09277,28.45214,14.733925,155.57838,214.09872,-32.1195,28.36731,30.231243,190.81401,191.03888,36.587746,40.495712,1552.7863,1228.396,1486.4397,1318.6976,1348.9144,1187.2347,1080.3993,1044.2059,1047.5005,1083.5483,1089.7155
6,-7.833994,-5.618472,-18.934086,-15.387867,91.83075,-4.641448,-0.90634537,-120.72082,125.15487,-57.931683,54.21659,30.096405,14.131857,156.57262,214.08678,-31.636446,27.632679,29.215176,189.68977,189.99301,35.54391,39.62657,1553.3594,1228.9148,1485.9863,1317.9834,1349.594,1187.6288,1080.6299,1044.1016,1047.4904,1083.7687,1089.8466
7,-7.5551624,-5.4595613,-18.970936,-15.558914,92.46152,-4.500469,-0.70586777,-120.74283,125.18138,-57.766846,54.367897,32.04509,13.436858,157.75052,214.07712,-31.05641,26.76545,28.016994,188.34816,188.78983,34.292744,38.53571,1554.0272,1229.5433,1485.48,1317.1575,1350.4431,1188.1157,1080.8938,1044.0084,1047.4889,1084.0188,1090.0155
8,-7.229372,-5.2569246,-18.996925,-15.738834,93.18608,-4.3231106,-0.4892788,-120.75595,125.19539,-57.587784,54.554173,34.299706,12.672612,159.12671,214.07602,-30.366076,25.78242,26.64576,186.79309,187.43675,32.83768,37.198795,1554.7803,1230.2798,1484.9208,1316.2241,1351.4662,1188.6969,1081.1932,1043.93,1047.4945,1084.2991,1090.24
9,-6.854048,-5.012582,-19.016685,-15.928143,94.00764,-4.112815,-0.26169014,-120.764305,125.18854,-57.394566,54.771523,36.86125,11.8666115,160.71547,214.09152,-29.549807,24.70417,25.1111,185.03079,185.93869,31.185081,35.624634,1555.605,1231.1223,1484.3068,1315.187,1352.658,1189.3726,1081.5314,1043.868,1047.5038,1084.613,1090.5262
